singer;title;language;id
A-Dessa;Фая, нет Вай-Фая;russian;1
Arash;Восточные сказки;russian;2
Cream Soda;Плачу на техно;russian;3
Cream Soda;Сердце лед;russian;4
Dan Balan;Лепестками слез;russian;5
IOWA;Бьёт Бит;russian;6
IOWA;Маршрутка;russian;7
IOWA;Потанцуй со мной;russian;8
MC Doni;Джин;russian;9
Mr.Credo;Медляк;russian;10
Niletto;Краш;russian;11
Niletto;Любимка;russian;12
Quest Pistols;Белая Стрекоза Любви;russian;13
Quest Pistols;Санта Лючия;russian;14
Quest Pistols;Я твой наркотик;russian;15
Quest Pistols;Я устал, хочу любви;russian;16
Алла Пугачёва;Мадам Брошкина;russian;17
Алла Пугачёва;Миллион алых роз;russian;18
Алла Пугачёва;Позови меня с собой;russian;19
Алла Пугачёва;Этот мир;russian;20
Анжелика Варум;Всё в твоих руках;russian;21
Анжелика Варум;Королева;russian;22
Арсен Петросов;Кайфуем;russian;23
Баста ;Сансара;russian;24
Блестящие;Восточные сказки;russian;2
Браво;Любите девушки;russian;25
Буланова;Ясный мой свет;russian;26
Бумбокс;Вахтерам;russian;27
Бумбокс;TNT;russian;28
Бутырка;Я душу к небу отпущу;russian;29
Верасы;Малиновка;russian;30
Вера Брежнева;Лепестками слез;russian;5
Виктор Цой (Кино);Видели ночь;russian;31
Виктор Цой (Кино);Группа крови;russian;32
Виктор Цой (Кино);Звезда по имени Солнце;russian;33
Виктор Цой (Кино);Кончится лето;russian;34
Виктор Цой (Кино);Кукушка;russian;35
Виктор Цой (Кино);Пачка сигарет;russian;36
Виктор Цой (Кино);Следи за собой;russian;37
Винтаж;Ева;russian;38
Владимир Пресняков;Аэропорты;russian;39
Время и Стекло;Имя 505;russian;40
Вячеслав Бутусов;Гудбай Америка;russian;41
Губин;Девушки как звезды;russian;42
Губин;Лиза;russian;43
Губин;Мальчик бродяга;russian;44
Губин;Милая моя далеко;russian;45
Губин;Ночь;russian;46
Губин;Птица;russian;47
Денис Майданов;Время наркотик;russian;48
Дора (Дарья Шиханова);Втюрилась;russian;49
Дора (Дарья Шиханова);Дорадура;russian;50
Дора (Дарья Шиханова);Младшая сестра;russian;51
Жанна Агузарова;Ленинградский рокнролл;russian;52
Жуки;Батарейка;russian;53
Земляне;Поверь в мечту;russian;54
Иван Дорн;Северное сияние;russian;55
Иван Дорн;Стыцамэн;russian;56
Клава Кока (Клавдия Высокова);Краш;russian;11
Клава Кока (Клавдия Высокова);Покинула чат;russian;57
Комбинация;Американ бой;russian;58
Комбинация ;Бухгалтер;russian;59
Король и Шут (КиШ);Дурак и молния;russian;60
Король и Шут (КиШ);Кукла колдуна;russian;61
Король и Шут (КиШ);Прыгну со скалы;russian;62
Король и Шут (КиШ);Ром;russian;63
Крис Кельми;Замыкая круг;russian;64
Крис Кельми;Ночное рандеву;russian;65
Ласковый май;Белые розы;russian;66
Леонид Агутин;Всё в твоих руках;russian;21
Леонид Агутин;Королева;russian;22
Леонид Агутин;Аэропорты;russian;39
Леонид Агутин;Граница;russian;67
Леонид Агутин;У моря у синего моря;russian;68
Леонид Агутин;Хоп-хэй;russian;69
Лобода;Мой;russian;70
ЛСП;Безумие;russian;71
ЛСП;Монетка;russian;72
Максим;Ветром стать;russian;73
Максим;Знаешь ли ты;russian;74
Максим;Мой рай;russian;75
Михаил Боярский;Зеленоглазое такси;russian;76
Михаил Боярский;Медведица;russian;77
Михаил Боярский;Спасибо родная;russian;78
Morgenshtern;Caddilac;russian;79
Нэнси;Дым сигарет с ментолом;russian;80
Нэнси;Чистый лист;russian;81
Отпетые Мошенники;Граница;russian;67
Ранетки;Зима;russian;82
Ранетки;Мы ранетки;russian;83
Ранетки;О тебе;russian;84
Сектор Газа;Демобилизация;russian;85
Сектор Газа;Лирика;russian;86
Сектор Газа;Туман;russian;87
Серебро (Serebro);Мало тебя;russian;88
Серебро (Serebro);Между нами любовь;russian;89
Тима Белорусских;Мокрые кроссы;russian;90
Тима Белорусских;Незабудка;russian;91
Фабрика;Зажигай;russian;92
Хлеб;Плачу на техно;russian;3
Stromae;Papaoutai;french;93
Kazka (Казка);Плакала;ukrainian;94
The Hardkiss;Прірва;ukrainian;95
Ирина Билык;Мовчати;ukrainian;96
Кузьма Скрябин(Скрябін);Мовчати;ukrainian;96
Кузьма Скрябин(Скрябін);Любити платити;ukrainian;97
Кузьма Скрябин(Скрябін);Старі фотографії;ukrainian;98
Океан Эльзы;І я на небі;ukrainian;99
Океан Эльзы;Вставай;ukrainian;100
Океан Эльзы;Кішка;ukrainian;101
Океан Эльзы;Майже весна;ukrainian;102
Океан Эльзы;Обiйми мене;ukrainian;103
Океан Эльзы;Рандеву;ukrainian;104
Океан Эльзы;Стрiляй;ukrainian;105
Океан Эльзы;Я так хочу до тебе;ukrainian;106
Beyonce;Halo;english;107
Eagles;Hotel California;english;108
Elton John;Sorry Seems To Be The Hardest Word;english;109
Madcon (Мадкон);Beggin;english;110
Madonna;La Isla Bonita;english;111
Michael Jackson;You are not alone;english;112
PSY;Daddy;english;113
The Hardkiss;Make Up;english;114
Whitney Houston;I Will Always Love You;english;115
